Material,Use,Su,Sy,E,G,mu,Ro
ANSI Steel SAE 1015 as-rolled,Yes,421,314,207000,79000,0.3,7860
ANSI Steel SAE 1015 normalized,Yes,424,324,207000,79000,0.3,7860
ANSI Steel SAE 1015 annealed,Yes,386,284,207000,79000,0.3,7860
ANSI Steel SAE 1020 as-rolled,Yes,448,331,207000,79000,0.3,7860
ANSI Steel SAE 1020 normalized,Yes,441,346,207000,79000,0.3,7860
ANSI Steel SAE 1020 annealed,Yes,395,295,207000,79000,0.3,7860
ANSI Steel SAE 1022 as-rolled,Yes,503,359,207000,79000,0.3,7860
ANSI Steel SAE 1022 normalized,Yes,483,359,207000,79000,0.3,7860
ANSI Steel SAE 1022 annealed,Yes,450,317,207000,79000,0.3,7860
ANSI Steel SAE 1030 as-rolled,Yes,552,345,207000,79000,0.3,7860
ANSI Steel SAE 1030 normalized,Yes,517,345,207000,79000,0.3,7860
ANSI Steel SAE 1030 annealed,Yes,464,341,207000,79000,0.3,7860
ANSI Steel SAE 1030 tempered at 400 F,No,848,648,207000,79000,0.3,7860
ANSI Steel SAE 1040 as-rolled,Yes,621,414,207000,79000,0.3,7860
ANSI Steel SAE 1040 normalized,Yes,590,374,207000,79000,0.3,7860
ANSI Steel SAE 1040 annealed,Yes,519,353,207000,79000,0.3,7860
ANSI Steel SAE 1040 tempered at 400 F,No,779,593,207000,79000,0.3,7860
ANSI Steel SAE 1050 as-rolled,No,724,414,207000,79000,0.3,7860
ANSI Steel SAE 1050 normalized,No,748,427,207000,79000,0.3,7860
ANSI Steel SAE 1050 annealed,Yes,636,365,207000,79000,0.3,7860
ANSI Steel SAE 1050 tempered at 600 F,No,979,724,207000,79000,0.3,7860
ANSI Steel SAE 1060 as-rolled,No,814,483,207000,79000,0.3,7860
ANSI Steel SAE 1060 normalized,No,776,421,207000,79000,0.3,7860
ANSI Steel SAE 1060 annealed,Yes,626,372,207000,79000,0.3,7860
ANSI Steel SAE 1060 tempered at 600 F,No,1103,779,207000,79000,0.3,7860
ANSI Steel SAE 1080 as-rolled,No,965,586,207000,79000,0.3,7860
ANSI Steel SAE 1080 normalized,No,1010,524,207000,79000,0.3,7860
ANSI Steel SAE 1080 annealed,Yes,615,376,207000,79000,0.3,7860
ANSI Steel SAE 1080 tempered at 600 F,No,1303,979,207000,79000,0.3,7860
ANSI Steel SAE 1095 as-rolled,No,965,572,207000,79000,0.3,7860
ANSI Steel SAE 1095 normalized,No,1014,500,207000,79000,0.3,7860
ANSI Steel SAE 1095 annealed,Yes,657,379,207000,79000,0.3,7860
ANSI Steel SAE 1095 tempered at 400 F,No,1289,827,207000,79000,0.3,7860
ANSI Steel SAE 1117 as-rolled,Yes,487,305,207000,79000,0.3,7860
ANSI Steel SAE 1117 normalized,Yes,467,303,207000,79000,0.3,7860
ANSI Steel SAE 1117 annealed,Yes,429,279,207000,79000,0.3,7860
ANSI Steel SAE 1118 as-rolled,Yes,521,316,207000,79000,0.3,7860
ANSI Steel SAE 1118 normalized,Yes,477,319,207000,79000,0.3,7860
ANSI Steel SAE 1118 annealed,Yes,450,284,207000,79000,0.3,7860
