Name;Industry;Revenue;Profit;Employees;Headquarters
Amazon;Retail Information technology;716;79,9;1,576,000;United States
Walmart;Retail;713;21,8;2,100,000;
State Grid Corporation of China;Electricity;545;9,2;1,361,423;China
Saudi Aramco;Oil and gas;480;106;73,311;Saudi Arabia
China National Petroleum Corporation;476;25,2;1,026,301;China;
China Petrochemical Corporation;429;9,3;513,434;;[10]
Apple;Information technology;416;112;166,000;United States
Alphabet;Information technology;402;132;190,820;
UnitedHealth Group;Healthcare;400;14,4;400,000;
Berkshire Hathaway;Financials;371;88,9;392,400;
CVS Health;Healthcare;357;8,3;259,500;
Volkswagen Group;Automotive;348;17,9;684,025;Germany
ExxonMobil;Oil and gas;344;36;61,500;United States
Vitol;Commodities;331;13;1,560;Switzerland
Shell;Oil and gas;323;19,3;103,000;United Kingdom
China State Construction Engineering;Construction;320;4,2;382,894;China
Toyota;Automotive;312;34,2;380,793;Japan
McKesson;Healthcare;308;3;48,000;United States
Microsoft;Information technology;281;101;228,000;
Cencora;Healthcare;262;1,7;44,000;
Trafigura;Commodities;244;7,3;12,479;Singapore
Costco;Retail;242;6,2;316,000;United States
JPMorgan Chase;Financials;239;49,5;309,926;
Industrial and Commercial Bank of China;222;51,4;419,252;China;
Schwarz Gruppe;Retail;220;n/a;604,000;Germany
TotalEnergies;Oil and gas;218;21,3;102,579;France
Glencore;Commodities;217;4,2;83,426;Switzerland
Nvidia;Semiconductors;215;120;36,000;United States
BP;Oil and gas;213;15,2;79,400;United Kingdom
Cardinal Health;Healthcare;205;0,26;47,520;United States
Stellantis;Automotive;204;20,1;258,275;Netherlands
Chevron;Oil and gas;200;21,3;45,600;United States
China Construction Bank;Financials;199;46,9;376,871;China
Samsung Electronics;Electronics;198;11;267,860;South Korea
Foxconn;197;4,5;621,393;Taiwan;
Cigna;Healthcare;195;5,1;71,413;United States
Agricultural Bank of China;Financials;192;38;451,003;China
China Railway Engineering Corporation;Construction;178;2,1;314,149;China
Cargill;Conglomerate;177;17,6;160,000;United States
Ford Motor Company;Automotive;176;4,3;177,000;
Bank of China;Financials;172;32,7;306,931;China
Bank of America;171;26,5;212,985;United States;
General Motors;Automotive;171;10,1;163,000;
Elevance Health;Healthcare;171;5,9;104,900;
BMW Group;Automotive;168;12,2;154,950;Germany
Mercedes-Benz Group;Automotive;165;15,4;166,056;Germany
Meta Platforms;Social media;164;62,3;78,450;United States
China Railway Construction Corporation;Construction;160;1,7;336,433;China
Baowu;Steel;157;2,4;258,697;
Citigroup;Financials;156;9,2;237,925;United States
